id,loan_amount,instalment,expected_revenue,total_payment,loss
Summary,,,"Total Expected Loss: $28,885,826.94",,
7078652,10000,355.44,12795.84,28.54918772358279,12767.290812276417
7078466,21250,612.31,36738.6,50.30881385951976,36688.29118614048
7078135,26325,638.5,38310.0,40.30165128826489,38269.69834871173
7077925,20000,705.12,25384.32,65.62878001754726,25318.69121998245
7077329,21850,588.67,35320.2,60.87291366846313,35259.327086331534
7074685,8875,289.05,10405.800000000001,46.36914382515533,10359.430856174846
7074302,14000,357.42,21445.2,28.589128361004825,21416.610871638997
7073801,30000,814.14,48848.4,60.980841446455386,48787.419158553545
7072383,7775,279.38,10057.68,31.932707237834084,10025.747292762166
7071851,5550,199.43,7179.4800000000005,37.84238594730616,7141.6376140526945
7071688,9500,341.36,12288.960000000001,38.72420347174181,12250.235796528259
7071558,12800,379.99,22799.4,52.54736110979484,22746.852638890206
7070315,20000,468.8,28128.0,55.5159822278246,28072.484017772174
7069274,7200,240.35,8652.6,43.54861664116352,8609.051383358837
7068923,11500,394.89,14216.039999999999,34.141083040444386,14181.898916959555
7066267,9450,324.5,11682.0,42.72268377788328,11639.277316222116
7065992,15000,363.82,21829.2,34.9907230310052,21794.209276968995
7065116,21000,610.24,36614.4,61.609393509766846,36552.790606490234
7063711,10000,234.4,14064.0,36.23331304149264,14027.766686958508
7062323,11200,384.59,13845.24,52.8776417827435,13792.362358217257
7061600,12000,286.87,17212.2,46.247424429364,17165.952575570638
7058324,17450,496.95,17890.2,36.96936948673534,17853.230630513266
7057921,11500,394.89,14216.039999999999,35.99106181897093,14180.048938181028
7057840,19950,563.55,33813.0,47.48255441517021,33765.51744558483
7056102,13250,450.8,16228.800000000001,44.01954327250295,16184.780456727498
7055164,10000,271.38,16282.8,29.94659600331489,16252.853403996683
7053799,10800,383.87,13819.32,41.66835335272794,13777.651646647271
7053646,10625,283.34,17000.399999999998,45.26661169987361,16955.133388300124
7052519,5750,187.27,6741.72,31.444028971067294,6710.275971028933
7052078,18000,586.24,21104.64,54.617962796285454,21050.022037203715
7050034,9600,316.8,11404.800000000001,49.41178558981562,11355.388214410186
